gene_id	GM12878_gate_type	GM12878_gene_name	K562_gate_type	gene_name
ENSG00000025708	SIMPLE_AND	TYMP		TYMP
ENSG00000026103		FAS		FAS
ENSG00000026751	SIMPLE_AND	SLAMF7		SLAMF7
ENSG00000028116	COMPLEX	VRK2		VRK2
ENSG00000029534		ANK1	BIVALENT	ANK1
ENSG00000029559		IBSP		IBSP
ENSG00000029993	SIMPLE_OR	HMGB3		HMGB3
ENSG00000030304		MUSK		MUSK
ENSG00000031003		FAM13B		FAM13B
ENSG00000033122		LRRC7	INCONSISTENT	LRRC7
ENSG00000034053		APBA2	SIMPLE_AND	APBA2
ENSG00000034239	REPRESSED	CLXN		CLXN
ENSG00000034677		RNF19A	REPRESSED	RNF19A
ENSG00000034971		MYOC	REPRESSED	MYOC
ENSG00000035403		VCL	SIMPLE_OR	VCL
ENSG00000035664		DAPK2	INCONSISTENT	DAPK2
ENSG00000035720	SIMPLE_OR	STAP1		STAP1
ENSG00000035862	REPRESSED	TIMP2		TIMP2
ENSG00000036448		MYOM2	REPRESSED	MYOM2
ENSG00000036473		OTC		OTC
ENSG00000036565		SLC18A1		SLC18A1
ENSG00000036828	BIVALENT	CASR		CASR
ENSG00000037042	SIMPLE_AND	TUBG2		TUBG2
ENSG00000037280		FLT4	BIVALENT	FLT4
ENSG00000038295	REPRESSED	TLL1		TLL1
ENSG00000038945		MSR1		MSR1
ENSG00000039068	SIMPLE_OR	CDH1		CDH1
ENSG00000039523	SIMPLE_OR	RIPOR1		RIPOR1
ENSG00000039537		C6		C6
ENSG00000039600	INCONSISTENT	SOX30		SOX30
ENSG00000039987		BEST2	REPRESSED	BEST2
ENSG00000040608		RTN4R		RTN4R
ENSG00000040731		CDH10		CDH10
ENSG00000041353		RAB27B		RAB27B
ENSG00000041515		MYO16		MYO16
ENSG00000041982	REPRESSED	TNC		TNC
ENSG00000042062		RIPOR3	SIMPLE_AND	RIPOR3
ENSG00000042304	REPRESSED	C2orf83		C2orf83
ENSG00000042781		USH2A		USH2A
ENSG00000042813		ZPBP		ZPBP
ENSG00000042980		ADAM28		ADAM28
ENSG00000043039	REPRESSED	BARX2		BARX2
ENSG00000043093		DCUN1D1		DCUN1D1
ENSG00000044012		GUCA2B	REPRESSED	GUCA2B
ENSG00000044115		CTNNA1	SIMPLE_AND	CTNNA1
ENSG00000044459	INCONSISTENT	CNTLN		CNTLN
ENSG00000044524		EPHA3		EPHA3
ENSG00000046774		MAGEC2	INCONSISTENT	MAGEC2
ENSG00000047457		CP		CP
ENSG00000047617		ANO2		ANO2
ENSG00000047634	SIMPLE_AND	SCML1		SCML1
ENSG00000047662		FAM184B	REPRESSED	FAM184B
ENSG00000047936		ROS1		ROS1
ENSG00000048052		HDAC9	BIVALENT	HDAC9
ENSG00000048342		CC2D2A		CC2D2A
ENSG00000048405		ZNF800		ZNF800
ENSG00000048540		LMO3		LMO3
ENSG00000048545		GUCA1A		GUCA1A
ENSG00000048740		CELF2		CELF2
ENSG00000049089	SIMPLE_OR	COL9A2		COL9A2
ENSG00000049247		UTS2		UTS2
ENSG00000049768		FOXP3	REPRESSED	FOXP3
ENSG00000050030	SIMPLE_AND	NEXMIF		NEXMIF
ENSG00000050327		ARHGEF5		ARHGEF5
ENSG00000050555		LAMC3	REPRESSED	LAMC3
ENSG00000050730		TNIP3		TNIP3
ENSG00000051596		THOC3		THOC3
ENSG00000051825	SIMPLE_OR	MPHOSPH9		MPHOSPH9
ENSG00000052344		PRSS8	INCONSISTENT	PRSS8
ENSG00000053108	REPRESSED	FSTL4		FSTL4
ENSG00000053438		NNAT		NNAT
ENSG00000053702		NRIP2		NRIP2
ENSG00000053747	BIVALENT	LAMA3		LAMA3
ENSG00000054277	INCONSISTENT	OPN3		OPN3
ENSG00000054356		PTPRN	BIVALENT	PTPRN
ENSG00000054654	SIMPLE_OR	SYNE2		SYNE2
ENSG00000054793	REPRESSED	ATP9A		ATP9A
ENSG00000054796		SPO11		SPO11
ENSG00000054803		CBLN4		CBLN4
ENSG00000055208		TAB2		TAB2
ENSG00000055955		ITIH4	INCONSISTENT	ITIH4
ENSG00000055957	SIMPLE_OR	ITIH1		ITIH1
ENSG00000056291		NPFFR2	REPRESSED	NPFFR2
ENSG00000056558	SIMPLE_AND	TRAF1		TRAF1
ENSG00000056998		GYG2	BIVALENT	GYG2
ENSG00000057149		SERPINB3		SERPINB3
ENSG00000057468		MSH4		MSH4
ENSG00000057593		F7		F7
ENSG00000057608	SIMPLE_AND	GDI2		GDI2
ENSG00000058085		LAMC2	REPRESSED	LAMC2
ENSG00000058091		CDK14		CDK14
ENSG00000058335	REPRESSED	RASGRF1		RASGRF1
ENSG00000058404		CAMK2B		CAMK2B
ENSG00000058453		CROCC		CROCC
ENSG00000058866	BIVALENT	DGKG		DGKG
ENSG00000059728		MXD1		MXD1
ENSG00000060303		RPS17P5		RPS17P5
ENSG00000060566		CREB3L3		CREB3L3
ENSG00000060709		RIMBP2	REPRESSED	RIMBP2
ENSG00000060718	REPRESSED	COL11A1		COL11A1
ENSG00000061918	BIVALENT	GUCY1B1		GUCY1B1
ENSG00000062038		CDH3	REPRESSED	CDH3
ENSG00000062096		ARSF	REPRESSED	ARSF
ENSG00000062282		DGAT2		DGAT2
ENSG00000062370		ZNF112		ZNF112
ENSG00000063127	SIMPLE_OR	SLC6A16		SLC6A16
ENSG00000064201		TSPAN32	INCONSISTENT	TSPAN32
ENSG00000064205		CCN5		CCN5
ENSG00000064218	REPRESSED	DMRT3		DMRT3
ENSG00000064270	REPRESSED	ATP2C2		ATP2C2
ENSG00000064547	SIMPLE_AND	LPAR2		LPAR2
ENSG00000064787		BCAS1		BCAS1
ENSG00000064835		POU1F1		POU1F1
ENSG00000064886	SIMPLE_AND	CHI3L2		CHI3L2
ENSG00000064989	SIMPLE_AND	CALCRL		CALCRL
ENSG00000065150		IPO5		IPO5
ENSG00000065325		GLP2R		GLP2R
ENSG00000065361		ERBB3		ERBB3
ENSG00000065371	REPRESSED	ROPN1		ROPN1
ENSG00000065609	BIVALENT	SNAP91		SNAP91
ENSG00000065618		COL17A1		COL17A1
ENSG00000065621	INCONSISTENT	GSTO2		GSTO2
ENSG00000065809		FAM107B	REPRESSED	FAM107B
ENSG00000066032		CTNNA2		CTNNA2
ENSG00000066056		TIE1		TIE1
ENSG00000066248		NGEF		NGEF
ENSG00000066405		CLDN18		CLDN18
ENSG00000066468	REPRESSED	FGFR2		FGFR2
ENSG00000066629		EML1		EML1
ENSG00000066813		ACSM2B		ACSM2B
ENSG00000067048		DDX3Y		DDX3Y
ENSG00000067177		PHKA1	INCONSISTENT	PHKA1
ENSG00000067445		TRO		TRO
ENSG00000067606	INCONSISTENT	PRKCZ		PRKCZ
ENSG00000067646		ZFY		ZFY
ENSG00000067715	COMPLEX	SYT1		SYT1
ENSG00000067840		PDZD4	INCONSISTENT	PDZD4
ENSG00000067842		ATP2B3		ATP2B3
ENSG00000068745		IP6K2	SIMPLE_OR	IP6K2
ENSG00000068976		PYGM	INCONSISTENT	PYGM
ENSG00000068985		PAGE1	INCONSISTENT	PAGE1
ENSG00000069018		TRPC7		TRPC7
ENSG00000069122		ADGRF5		ADGRF5
ENSG00000069188	REPRESSED	SDK2		SDK2
ENSG00000069206		ADAM7		ADAM7
ENSG00000069431		ABCC9		ABCC9
ENSG00000069493	SIMPLE_OR	CLEC2D		CLEC2D
ENSG00000069535		MAOB	INCONSISTENT	MAOB
ENSG00000069667	REPRESSED	RORA		RORA
ENSG00000069696	REPRESSED	DRD4		DRD4
ENSG00000069702		TGFBR3	SIMPLE_AND	TGFBR3
ENSG00000069764		PLA2G10		PLA2G10
ENSG00000069956		MAPK6		MAPK6
ENSG00000069966		GNB5	REPRESSED	GNB5
ENSG00000069998		HDHD5	REPRESSED	HDHD5
ENSG00000070019		GUCY2C		GUCY2C
ENSG00000070087		PFN2	INCONSISTENT	PFN2
ENSG00000070190	SIMPLE_AND	DAPP1		DAPP1
ENSG00000070193	REPRESSED	FGF10		FGF10
ENSG00000070269		TMEM260		TMEM260
ENSG00000070526		ST6GALNAC1	SIMPLE_AND	ST6GALNAC1
ENSG00000070729	REPRESSED	CNGB1		CNGB1
ENSG00000070731	INCONSISTENT	ST6GALNAC2		ST6GALNAC2
ENSG00000070748	REPRESSED	CHAT		CHAT
ENSG00000070808		CAMK2A		CAMK2A
ENSG00000070915		SLC12A3		SLC12A3
ENSG00000071203		MS4A12		MS4A12
ENSG00000071242	INCONSISTENT	RPS6KA2		RPS6KA2
ENSG00000071282	SIMPLE_AND	LMCD1		LMCD1
ENSG00000071677		PRLH		PRLH
ENSG00000071909	SIMPLE_AND	MYO3B		MYO3B
ENSG00000071991	REPRESSED	CDH19		CDH19
ENSG00000072041	REPRESSED	SLC6A15		SLC6A15
ENSG00000072080	REPRESSED	SPP2		SPP2
ENSG00000072133		RPS6KA6		RPS6KA6
ENSG00000072134		EPN2		EPN2
ENSG00000072163		LIMS2	REPRESSED	LIMS2
ENSG00000072195	REPRESSED	SPEG		SPEG
ENSG00000072201	INCONSISTENT	LNX1		LNX1
ENSG00000072315	REPRESSED	TRPC5		TRPC5
ENSG00000072657		TRHDE		TRHDE
ENSG00000072694		FCGR2B		FCGR2B
ENSG00000072832	REPRESSED	CRMP1		CRMP1
ENSG00000072858	SIMPLE_AND	SIDT1		SIDT1
ENSG00000072952		IRAG1		IRAG1
ENSG00000073008		PVR	INCONSISTENT	PVR
ENSG00000073067		CYP2W1	REPRESSED	CYP2W1
ENSG00000073146		MOV10L1	REPRESSED	MOV10L1
ENSG00000073282	COMPLEX	TP63		TP63
ENSG00000073464	BIVALENT	CLCN4		CLCN4
ENSG00000073605	SIMPLE_OR	GSDMB		GSDMB
ENSG00000073734		ABCB11		ABCB11
ENSG00000073737		DHRS9		DHRS9
ENSG00000073754		CD5L		CD5L
ENSG00000073756	REPRESSED	PTGS2		PTGS2
ENSG00000073803	SIMPLE_AND	MAP3K13		MAP3K13
ENSG00000073905		VDAC1P1		VDAC1P1
ENSG00000073969		NSF		NSF
ENSG00000074047		GLI2	REPRESSED	GLI2
ENSG00000074181		NOTCH3		NOTCH3
ENSG00000074211		PPP2R2C	REPRESSED	PPP2R2C
ENSG00000074410	REPRESSED	CA12		CA12
ENSG00000074590	REPRESSED	NUAK1		NUAK1
ENSG00000074657	BIVALENT	ZNF532		ZNF532
ENSG00000074660	SIMPLE_AND	SCARF1		SCARF1
ENSG00000074771		NOX3		NOX3
ENSG00000074966		TXK		TXK
ENSG00000075043		KCNQ2	REPRESSED	KCNQ2
ENSG00000075073		TACR2	REPRESSED	TACR2
ENSG00000075142		SRI		SRI
ENSG00000075213		SEMA3A		SEMA3A
ENSG00000075223		SEMA3C		SEMA3C
ENSG00000075239		ACAT1		ACAT1
ENSG00000075290		WNT8B	REPRESSED	WNT8B
ENSG00000075292	SIMPLE_OR	ZNF638		ZNF638
ENSG00000075388		FGF4	REPRESSED	FGF4
ENSG00000075429		CACNG5	REPRESSED	CACNG5
ENSG00000075461	BIVALENT	CACNG4		CACNG4
ENSG00000075673	BIVALENT	ATP12A		ATP12A
ENSG00000075785		RAB7A		RAB7A
ENSG00000075826		SEC31B		SEC31B
ENSG00000075884		ARHGAP15		ARHGAP15
ENSG00000075886		TUBA3D		TUBA3D
ENSG00000075945		KIFAP3		KIFAP3
ENSG00000076258	INCONSISTENT	FMO4		FMO4
ENSG00000076344		RGS11		RGS11
ENSG00000076554	SIMPLE_OR	TPD52		TPD52
ENSG00000076555		ACACB		ACACB
ENSG00000076662	SIMPLE_AND	ICAM3		ICAM3
ENSG00000076685	REPRESSED	NT5C2		NT5C2
ENSG00000076716	INCONSISTENT	GPC4		GPC4
ENSG00000076770	SIMPLE_AND	MBNL3		MBNL3
ENSG00000077009	REPRESSED	NMRK2		NMRK2
ENSG00000077080		ACTL6B		ACTL6B
ENSG00000077092		RARB		RARB
ENSG00000077264		PAK3		PAK3
ENSG00000077274		CAPN6		CAPN6
ENSG00000077279		DCX		DCX
ENSG00000077327	REPRESSED	SPAG6		SPAG6
ENSG00000077420	SIMPLE_AND	APBB1IP		APBB1IP
ENSG00000077498		TYR		TYR
ENSG00000077522		ACTN2	REPRESSED	ACTN2
ENSG00000077616		NAALAD2		NAALAD2
ENSG00000077721		UBE2A		UBE2A
ENSG00000077800		FKBP6	REPRESSED	FKBP6
ENSG00000077935		SMC1B		SMC1B
ENSG00000077942		FBLN1		FBLN1
ENSG00000077943	REPRESSED	ITGA8		ITGA8
ENSG00000077984		CST7		CST7
ENSG00000078018		MAP2	INCONSISTENT	MAP2
ENSG00000078053	REPRESSED	AMPH		AMPH
ENSG00000078098	REPRESSED	FAP		FAP
ENSG00000078114	REPRESSED	NEBL		NEBL
ENSG00000078237		TIGAR		TIGAR
ENSG00000078295		ADCY2		ADCY2
ENSG00000078328		RBFOX1		RBFOX1
ENSG00000078549		ADCYAP1R1		ADCYAP1R1
ENSG00000078579	REPRESSED	FGF20		FGF20
ENSG00000078589	COMPLEX	P2RY10		P2RY10
ENSG00000078725		BRINP1		BRINP1
ENSG00000078898		BPIFB2		BPIFB2
ENSG00000079101		CLUL1	INCONSISTENT	CLUL1
ENSG00000079102	REPRESSED	RUNX1T1		RUNX1T1
ENSG00000079112	INCONSISTENT	CDH17		CDH17
ENSG00000079215		SLC1A3		SLC1A3
ENSG00000079257	SIMPLE_AND	LXN		LXN
ENSG00000079263	SIMPLE_AND	SP140		SP140
ENSG00000079308	SIMPLE_OR	TNS1		TNS1
ENSG00000079335		CDC14A	SIMPLE_OR	CDC14A
ENSG00000079385		CEACAM1		CEACAM1
ENSG00000079435		LIPE		LIPE
ENSG00000079459		FDFT1	SIMPLE_AND	FDFT1
ENSG00000079482		OPHN1	INCONSISTENT	OPHN1
ENSG00000079557		AFM		AFM
ENSG00000079689		SCGN		SCGN
ENSG00000079841	REPRESSED	RIMS1		RIMS1
ENSG00000080007		DDX43		DDX43
ENSG00000080031		PTPRH	SIMPLE_AND	PTPRH
ENSG00000080166		DCT		DCT
ENSG00000080224		EPHA6		EPHA6
ENSG00000080493		SLC4A4		SLC4A4
ENSG00000080503		SMARCA2		SMARCA2
ENSG00000080511		RDH8		RDH8
ENSG00000080561	REPRESSED	MID2		MID2
ENSG00000080573	REPRESSED	COL5A3		COL5A3
ENSG00000080618		CPB2		CPB2
ENSG00000080709	REPRESSED	KCNN2		KCNN2
ENSG00000080845	REPRESSED	DLGAP4		DLGAP4
ENSG00000080854	BIVALENT	IGSF9B		IGSF9B
ENSG00000080910		CFHR2		CFHR2
ENSG00000080947		CROCCP3		CROCCP3
ENSG00000081051		AFP		AFP
ENSG00000081052	INCONSISTENT	COL4A4		COL4A4
ENSG00000081138		CDH7		CDH7
ENSG00000081148		IMPG2		IMPG2
ENSG00000081189		MEF2C		MEF2C
ENSG00000081248	INCONSISTENT	CACNA1S		CACNA1S
ENSG00000081277		PKP1	REPRESSED	PKP1
ENSG00000081307		UBA5		UBA5
ENSG00000081320	SIMPLE_AND	STK17B		STK17B
ENSG00000081665	SIMPLE_AND	ZNF506		ZNF506
ENSG00000081800		SLC13A1		SLC13A1
ENSG00000081818		PCDHB4		PCDHB4
ENSG00000081842		PCDHA6		PCDHA6
ENSG00000081853		PCDHGA2	BIVALENT	PCDHGA2
ENSG00000081985	REPRESSED	IL12RB2		IL12RB2
ENSG00000082014		SMARCD3	BIVALENT	SMARCD3
ENSG00000082074	COMPLEX	FYB1		FYB1
ENSG00000082126		MPP4		MPP4
ENSG00000082146		STRADB		STRADB
ENSG00000082196		C1QTNF3		C1QTNF3
ENSG00000082397		EPB41L3		EPB41L3
ENSG00000082458		DLG3		DLG3
ENSG00000082482		KCNK2		KCNK2
ENSG00000082556		OPRK1		OPRK1
ENSG00000082781	INCONSISTENT	ITGB5		ITGB5
ENSG00000082929	REPRESSED	LINC01587		LINC01587
ENSG00000083067	REPRESSED	TRPM3		TRPM3
ENSG00000083290	INCONSISTENT	ULK2		ULK2
ENSG00000083457		ITGAE		ITGAE
ENSG00000083622				
ENSG00000083782	REPRESSED	EPYC		EPYC
ENSG00000083857		FAT1	BIVALENT	FAT1
ENSG00000084070		SMAP2		SMAP2
ENSG00000084110		HAL		HAL
ENSG00000084453		SLCO1A2	INCONSISTENT	SLCO1A2
ENSG00000084636	SIMPLE_OR	COL16A1		COL16A1
ENSG00000084674		APOB		APOB
ENSG00000084693	SIMPLE_OR	AGBL5		AGBL5
ENSG00000085265	REPRESSED	FCN1		FCN1
ENSG00000085377	COMPLEX	PREP		PREP
ENSG00000085465		OVGP1		OVGP1
ENSG00000085514	SIMPLE_OR	PILRA		PILRA
ENSG00000085563		ABCB1		ABCB1
ENSG00000085662	SIMPLE_AND	AKR1B1		AKR1B1
ENSG00000085741	BIVALENT	WNT11		WNT11
ENSG00000085788		DDHD2		DDHD2
ENSG00000085978		ATG16L1		ATG16L1
ENSG00000085998		POMGNT1		POMGNT1
ENSG00000086015		MAST2		MAST2
ENSG00000086205		FOLH1		FOLH1
ENSG00000086288		NME8		NME8
ENSG00000086548		CEACAM6		CEACAM6
ENSG00000086570		FAT2		FAT2
ENSG00000086696		HSD17B2		HSD17B2
ENSG00000086730		LAT2		LAT2
ENSG00000086991		NOX4		NOX4
ENSG00000087116		ADAMTS2	INCONSISTENT	ADAMTS2
ENSG00000087128		TMPRSS11E		TMPRSS11E
ENSG00000087237		CETP		CETP
ENSG00000087245		MMP2	REPRESSED	MMP2
ENSG00000087250	BIVALENT	MT3		MT3
ENSG00000087460		GNAS		GNAS
ENSG00000087494	REPRESSED	PTHLH		PTHLH
ENSG00000088002		SULT2B1		SULT2B1
ENSG00000088053		GP6	INCONSISTENT	GP6
ENSG00000088340		FER1L4		FER1L4
ENSG00000088726	INCONSISTENT	TMEM40		TMEM40
ENSG00000088782		DEFB127		DEFB127
ENSG00000088826		SMOX	INCONSISTENT	SMOX
ENSG00000088827		SIGLEC1		SIGLEC1
ENSG00000088833		NSFL1C		NSFL1C
ENSG00000088926		F11		F11
ENSG00000089012	REPRESSED	SIRPG		SIRPG
ENSG00000089041	SIMPLE_AND	P2RX7		P2RX7
ENSG00000089057	REPRESSED	SLC23A2		SLC23A2
ENSG00000089127	SIMPLE_AND	OAS1		OAS1
ENSG00000089169		RPH3A	REPRESSED	RPH3A
ENSG00000089250		NOS1		NOS1
ENSG00000089335	COMPLEX	ZNF302		ZNF302
ENSG00000089351		GRAMD1A		GRAMD1A
ENSG00000089356		FXYD3	INCONSISTENT	FXYD3
ENSG00000089472		HEPH	SIMPLE_AND	HEPH
ENSG00000089486	BIVALENT	CDIP1		CDIP1
ENSG00000089505		CMTM1		CMTM1
ENSG00000089692	SIMPLE_AND	LAG3		LAG3
ENSG00000089818		NECAP1		NECAP1
ENSG00000090006		LTBP4		LTBP4
ENSG00000090020		SLC9A1		SLC9A1
ENSG00000090104	SIMPLE_AND	RGS1		RGS1
ENSG00000090266		NDUFB2		NDUFB2
ENSG00000090376	SIMPLE_AND	IRAK3		IRAK3
ENSG00000090382		LYZ	SIMPLE_AND	LYZ
ENSG00000090402		SI		SI
ENSG00000090512		FETUB	REPRESSED	FETUB
ENSG00000090530	BIVALENT	P3H2		P3H2
ENSG00000090659		CD209		CD209
ENSG00000091010		POU4F3	REPRESSED	POU4F3
ENSG00000091073		DTX2	SIMPLE_OR	DTX2
ENSG00000091106	INCONSISTENT	NLRC4		NLRC4
ENSG00000091128		LAMB4		LAMB4
ENSG00000091138		SLC26A3		SLC26A3
ENSG00000091262		ABCC6		ABCC6
ENSG00000091428		RAPGEF4	REPRESSED	RAPGEF4
ENSG00000091482		SMPX		SMPX
ENSG00000091513		TF		TF
ENSG00000091536		MYO15A		MYO15A
ENSG00000091583		APOH		APOH
ENSG00000091664	REPRESSED	SLC17A6		SLC17A6
ENSG00000091704		CPA1		CPA1
ENSG00000091831	REPRESSED	ESR1		ESR1
ENSG00000091844	BIVALENT	RGS17		RGS17
ENSG00000091879		ANGPT2		ANGPT2
ENSG00000091947		TMEM101		TMEM101
ENSG00000091972	SIMPLE_AND	CD200		CD200
ENSG00000091986		CCDC80		CCDC80
ENSG00000092009		CMA1		CMA1
ENSG00000092051	SIMPLE_OR	JPH4		JPH4
ENSG00000092054		MYH7	INCONSISTENT	MYH7
ENSG00000092067		CEBPE		CEBPE
ENSG00000092068	REPRESSED	SLC7A8		SLC7A8
ENSG00000092200		RPGRIP1		RPGRIP1
ENSG00000092295		TGM1		TGM1
ENSG00000092345		DAZL		DAZL
ENSG00000092377		TBL1Y		TBL1Y
ENSG00000092421	BIVALENT	SEMA6A		SEMA6A
ENSG00000092529		CAPN3		CAPN3
ENSG00000092847		AGO1	SIMPLE_AND	AGO1
ENSG00000092850		TEKT2		TEKT2
ENSG00000093072	SIMPLE_AND	ADA2		ADA2
ENSG00000093100				
ENSG00000093134		VNN3P		VNN3P
ENSG00000093167		LRRFIP2		LRRFIP2
ENSG00000094661		OR1I1	REPRESSED	OR1I1
ENSG00000094755		GABRP		GABRP
ENSG00000094963		FMO2		FMO2
ENSG00000095066		HOOK2		HOOK2
ENSG00000095110		NXPE1		NXPE1
ENSG00000095464		PDE6C		PDE6C
ENSG00000095627		TDRD1		TDRD1
ENSG00000095713	REPRESSED	CRTAC1		CRTAC1
ENSG00000095777	REPRESSED	MYO3A		MYO3A
ENSG00000095917		TPSD1		TPSD1
ENSG00000095932		SMIM24	BIVALENT	SMIM24
